# Ledger of every migration APPLIED to Supabase project fgybyghwcjlstqxkclch,
# and the repository file that represents it. Refresh instructions and the
# meaning of FOLDED: are in docs/db/MIGRATION_INTEGRITY.md.
# version	applied_name	md5(statements)	repo_file
20260817175042	0118_narrow_reserved_title	2883d68b693a8004074dd14f187b5ae9	0118_narrow_reserved_title.sql
20260817183020	0119_market_following	fcffb6ac074c79bfc54807bdba07d9bd	0119_market_following.sql
20260817193017	0120_drop_alerts	a9accb77e950a5ba09219348aa1ae9b8	0120_drop_alerts.sql
20260817204401	0121_market_bundles	fcd44fb257f8078bc79cdc36effe5de1	0121_market_bundles.sql
20260817220817	0122_drop_polish	d2df8c30bf253e4d6b86a59710b218d8	0122_drop_polish.sql
20260817220848	0123_listing_lifecycle_guard	0fe74a9dc91cd507fccdad8cca68f10e	0123_listing_lifecycle_guard.sql
20260817224703	0124_payment_hardening	9bc7819e0517aaf1d708d1ea013c9589	0124_payment_hardening.sql
20260818000004	0125_renew_expired_window	faee21f79c5be844af67b73e2f133ce7	0125_renew_expired_window.sql
20260819014212	0126_three_tier_pricing	0d7d6681580f667c8961bba46031d8e1	0126_three_tier_pricing.sql
20260821124127	0127_hide_wanted_from_public	7f268f702737f4cf39581c5e756bd0b4	0127_hide_wanted_from_public.sql
